ID;азвание;усское название;ртикул;роизводитель;ренд;атегория;аличие;ена
2000052743;Настенная вытяжка, ширина 60 см, 650 м3/ч, Отвод воздуха и рециркуляция, цвет: антрацит;Вытяжки GORENJE;WHC63CLB;Gorenje;;Бытовая техника и электроника;0;ет цены
2000022596;Домино HANSA/ Домино,  30 x 51 см,  электрическая, стеклокерамика, 2 конфорки, черная;Домино HANSA;BHCS31116;Hansa;;Бытовая техника и электроника;0;ет цены
2000033243;Электрическая,  РОЗНИЧНЫЙ ЭКСКЛЮЗИВ!! 4.5x56.2x49 см, стеклокерамика, независимая, таймер, CombiZone, скошенный край, черная;Встраиваемая варочная панель BOSCH;PKM651FP1;Bosch;;Бытовая техника и электроника;0;ет цены
2000033248;Электрическая,  РОЗНИЧНЫЙ ЭКСКЛЮЗИВ!! 4.5x56.2x49 см, стеклокерамика, независимая, таймер, конфорка с круглой зоной расширения, черная;Встраиваемая варочная панель BOSCH;PKF651FP1E;Bosch;;Бытовая техника и электроника;0;ет цены
2000029228;Встраиваемые микроволновые печи SMEG/ Cortina, микроволновая печь, высота 45 см, белая/ фурнитура состаренное серебро;Встраиваемые микроволновые печи SMEG;SF4750MBS;SMEG;;Бытовая техника и электроника;0;ет цены
2000036017;Condor 45 800 x 510 mm R1 White Alpin CeramicPlus;Кухонные мойки Villeroy & Boch;674501R1;Villeroy & Boch;;Бытовая техника и электроника;0;ет цены
2000029181;Пылесосы THOMAS/ Онлайн-ассортимент! Для сухой уборки, 1700 Ватт;Пылесосы THOMAS;PERFECT AIR ANIMAL PURE 786-527;Thomas;;Бытовая техника и электроника;0;ет цены
2000051764;Мойка MRX 210-40 авт.;Мойка Franke 127.0543.997;127.0543.997;Franke;;Бытовая техника и электроника;0;ет цены
2000051765;Мойка MRX 210-50 стоп.;Мойка Franke 127.0543.999;127.0543.999;Franke;;Бытовая техника и электроника;0;ет цены
2000033249;Газ,  60 см, тип поверхности - нержавеющая сталь, независимая, серебристый цвет;Встраиваемая газовая варочная поверхность BOSCH;PCH6A5B90R;Bosch;;Бытовая техника и электроника;0;ет цены
2000040505;Встраиваемые электрические панели HOTPOINT-ARISTON/ Электрическая, 4.6x58x51, стеклокерамика, механическое управление, независимая, без рамки, черная;Встраиваемые электрические панели HOTPOINT-ARISTON;HR 629 C;Hotpoint-Ariston;;Бытовая техника и электроника;0;ет цены
2000029182;Пылесосы THOMAS/ Онлайн-ассортимент. Для сухой уборки, 1700 Ватт;Пылесосы THOMAS;PERFECT AIR ALLERGY PURE 786-526;Thomas;;Бытовая техника и электроника;0;ет цены
2000026073;Встраиваемые газовые панели ELECTROLUX/ Газ,  59.5x52.5, газовая, нерж. сталь, независимая, газ-контроль, электроподжиг, серебристая;Встраиваемые газовые панели ELECTROLUX;EGU96647LX;Electrolux;;Бытовая техника и электроника;0;ет цены
2000027961;Тостеры SMEG/ Стиль 50-х г.г, 2 ломтика, корпус из нержавеющей стали, 6 уровней поджаривания, черный;Тостеры SMEG;TSF01BLEU;SMEG;;Бытовая техника и электроника;0;ет цены
2000027963;Тостеры SMEG/ Стиль 50-х г.г, 2 ломтика, корпус из нержавеющей стали, 6 уровней поджаривания, кремовый;Тостеры SMEG;TSF01CREU;SMEG;;Бытовая техника и электроника;0;ет цены
2000027973;Тостеры SMEG/ Стиль 50-х г.г, 4 ломтика, корпус из нержавеющей стали, 6 уровней поджаривания, черный;Тостеры SMEG;TSF02BLEU;SMEG;;Бытовая техника и электроника;0;ет цены
2000003821;Домино HANSA/ Домино,  Размеры (ВхШхГ): 30 x 51 см, варочная поверхность электрическая, стеклокерамика, 2 конфорки, цвет- черный/ серебристый;Домино HANSA;BHCI35133030;Hansa;;Бытовая техника и электроника;0;ет цены
2000054155;Микроволновая печь Samsung/ 23л, соло, БИОкерамика, тактовый переключатель, Black STSS, быстрая разморозка, 30 рецептов русского меню, рецепты здорового питания;Микроволновая печь Samsung;ME88SUG/BW;Samsung;;Бытовая техника и электроника;0;ет цены
